,Unnamed: 0,Comentario,Nome,Data,Comentario_Limpo,Sentimento
0,0,"Overall I really liked FF7 Rebirth BUT there were 2 things I really disliked here! 
1st is the huge ammount of mini games in the first part of the game! One or two mini games as part of an quest would be ok for me but there are hours of forced mini game parts threw the first part of the game which is just too much for my taste! Just saying Costa Del Sol!

The 2nd thing was the technical performance even after the first couple of patches! 
Blurry and unsharp textures, low FPS, no matter if you´re in the quality or performance mode. I just hated it to play such an masterpiece in 2024 on PS5 with bad technical performance.Otherwise the game would have been an 9-9,5 for me…",FrancisWoodly,2024-07-03,overall really liked ff rebirth thing really disliked st huge amount mini game first part game one two mini game part quest would ok hour forced mini game part threw first part game much taste saying costa del sol nd thing technical performance even first couple patch blurry sharp texture low fps matter you´re quality performance mode hated play masterpiece p bad technical performanceotherwise game would me…,positivo
1,1,"This is masterpiece. It has to win GOTY 2024!! I can assure you that FF7 rebirth is the best JRPG in the gaming history! Yes, like a Elden ring or BG3 or Zelda are amazing, but as JRPG, this game is phenomenal!!",Kingkennn,2024-07-02,masterpiece win got assure ff rebirth best rpg gaming history yes like elder ring bg zelda amazing rpg game phenomenal,positivo
2,2,[SPOILER ALERT: This review contains spoilers.],Voltro,2024-07-02,spoiler alert review contains spoiler,positivo
3,3,"I just did not like it. I am a fan of the original, and I thought Remake was alright, but Rebirth is just worse than the OG in pretty much everything, aside from graphics.
Many major story points not hit the same AT ALL as the OG, and not just because I already know what happens, but because of strange changes they made.
I dislike the remixed music, the battle gameplay is incredibly tedious, and enemies have too much hp.
I played my friend's copy and returned mine to the shop because I did not want to actually own this game after trying it.",Anna,2024-07-01,like fan original thought remake alright rebirth worse og pretty much everything aside graphic many major story point hit og already know happens strange change made dislike remixed music battle gameplay incredibly tedious enemy much hp played friend copy returned mine shop want actually game trying,positivo
4,4,"It's perfect. The soundtrack, the story, the characters, the gameplay. It's really amazing.",danizavarce,2024-06-30,perfect soundtrack story character gameplay really amazing,positivo
5,5,Magnificent Masterpiece. FFVII Rebirth is GOTY just for how they went extra mile with this. Astonishing and impactful gaming experience. The COMBAT System! Graphics are awesome with some nitpicking defects which Digital Foundry highlighted. The Music overall amazing. The Freedom. The Sidequests. The Minigames. The Story. Staggering Art direction and Level Design. Can’t wait for Part 3!,kuraudoxs,2024-06-29,magnificent masterpiece vii rebirth got went extra mile astonishing impactful gaming experience combat system graphic awesome nitpicking defect digital foundry highlighted music overall amazing freedom sidequests minigames story staggering art direction level design ’ wait part,positivo
6,6,"It’s greatest of games which I played.
  You can adventure with your friends in a vast and magnificent world which is full of various amazing events.This world is composed of beautiful scenes with various styles and features.
  All sorts of small games is interesting,especially the Queen's Blood.
  The combat system is creative and fun,different characters have their own unique combat styles,simulators and ultimate hidden missions provide stronger challenges.
  The plot has added multiple worlds to the original version, providing unlimited possibilities,the plot and gameplay of side quests are also very distinctive
  This game is a work of SE's utmost effort,it's wonderful and perfect.I can hardly wait to paly the 3rd of final fantasy VII.",bolion,2024-06-28,’ greatest game played adventure friend vast magnificent world full various amazing eventsthis world composed beautiful scene various style feature sort small game interestingespecially queen blood combat system creative indifferent character unique combat stylessimulators ultimate hidden mission provide stronger challenge plot added multiple world original version providing unlimited possibilitiesthe plot gameplay side quest also distinctive game work s utmost efforts wonderful perfect hardly wait play rd final fantasy vii,positivo
7,7,"Best FF game I've played for a very long time. Finished this game 2 months ago and still can't stop thinking about it. Those people who gave it a 1/10 obviously did not play the game or simply can't appreciate what the devs have done - there are so much love and effort put into this and you really feel it from the start to the end. The music, the characters, the world are all peak perfection. Kudos to Square Enix for this masterpiece!!! Can't wait for Part 3!!",sjneo,2024-06-28,best ff game ive played long time finished game month ago still cant stop thinking people gave obviously play game simply cant appreciate devs done much love effort put really feel start end music character world peak perfection kudos square enix masterpiece cant wait part,positivo
8,8,"Overrated. This is the only word that come to my mind while I'm watching this.
Can we please talk about the bad graphics and bad performance of this game? We are in 2024, a year where games with realistic graphics like God of War and Horizon start to become a standard, but it looks like that it wasn't the case with ff7 rebirth.
Lots of low textures environments and textures popup, mixed with framerates drops that goes even under 20fps sometimes. And NPC models that looks like taken directly from the PS3 era.
And at the light of these objectives flaws I wonder how and why the journalists reviews didn't talked about these.
Personally, I suggest you to don't waste your money in this for now. Unless they will make a PS6 version with better graphics and framerate.",lukerom,2024-06-26,operated word come mind im watching please talk bad graphic bad performance game year game realistic graphic like god war horizon start become standard look like wasnt case ff rebirth lot low texture environment texture popup mixed framerates drop go even fps sometimes npc model look like taken directly p era light objective flaw wonder journalist review didnt talked personally suggest dont waste money unless make p version better graphic framerate,negativo
9,9,"A downgrade comparated to the original PS1 game, but at the same time a little better than the first part of this Remake.
The whole open area system is not so good and it feels definitely tedious and boring at the very least. The side contents are also really lame and they crush the whole narrative with too many side stuffs.
Not so impressed, but a little improvement",Licez,2024-06-26,downgraded compared original p game time little better first part remake whole open area system good feel definitely tedious boring least side content also really lame crush whole narrative many side stuff impressed little improvement,positivo
