,Unnamed: 0,Comentario,Nome,Data,Comentario_Limpo,Sentimento
0,0,"End credits are rolling as I write this. After hitting a wall with the difficulty of the combat in the first hour, I eventually got into the flow of this game and it became more and more rewarding the further I progressed. This is one of my favorite genres and Prince of Persia the Lost Crown is among the best Metroidvania games I've played. It is absolutely huge! The map is utterly filled with traps and environmental hazards and call back to the very first Prince of Persia side scrolling game. Every enemy could be a game over situation if you're not careful and these are some of the most spectacular boss fights I've ever encountered. The visuals are gorgeous, from the over-the-top cast of characters to the richly detailed landscape. I can tell so much care and attention went into this game from start to finish.",ShipwreckTTV,2024-07-01,end credit rolling write hitting wall difficulty combat first hour eventually got flow game became rewarding progressed one favorite genre prince persian lost crown among best metroidvania game ive played absolutely huge map utterly filled trap environmental hazard call back first prince persian side scrolling game every enemy could game situation youre careful spectacular bos fight ive ever encountered visuals gorgeous overthetop cast character richly detailed landscape tell much care attention went game start finish,positivo
1,1,"Great game, one of the best game 2024. Many are not happy that this is not the same Prince of Persia, but they forget that initially the Prince of Persia was exactly like that. I hope there will be a continuation, it will be interesting to know the story further.",aeternumlk,2024-06-27,great game one best game many happy prince persian forget initially prince persian exactly like hope continuation interesting know story,positivo
2,2,"What an amazing game! After playing Hollow Knight, I wasn`t sure I would be satisfied playing any other metroidvania out there, but I was wrong. This game reaches the same heights. Amazing platform and level design, deep and varied combat and an interesting story that is easy to follow. Better than Most Blockbusters AAA games out there",danathayde,2024-06-15,amazing game playing hollow knight wasnt sure would satisfied playing metroidvania wrong game reach height amazing platform level design deep varied combat interesting story easy follow better blockbuster aaa game,positivo
3,3,Awesome metroidvania with a nice little story and awesome moves. 9/10 without comparing it to the masterpieces of the genre.,RetroRuben,2024-06-12,awesome metroidvania nice little story awesome move without comparing masterpiece genre,positivo
4,4,"Buenísimo el juego, me ha gustado mucho más que metroid dread. una joya total!",JAPRAS,2024-06-04,great game liked metro dread total jewel,positivo
5,5,"I can say this is my favorite metroidvania since Hollow Knight. Great story, responsive controls, good characters. The Switch version didn't let me down. 10 out of 10.",Edugreen,2024-06-02,say favorite metroidvania since hollow knight great story responsive control good character switch version didnt let,positivo
6,6,"Amazing mix of Metroid Dread, Mario, Rayman and Dark Souls. As strange as it sound the effect is a superb, addicting, responsive and challenging game with amazing mood.",PJMZdanowski,2024-05-20,amazing mix metro dread mario layman dark soul strange sound effect superb addiction responsive challenging game amazing mood,positivo
7,7,"Changing my review to 1

I got bug locked because a door won't open anymore after a crash.

The game is rich, diverse, and really innovative on some mechanics. The gameplay is really smooth and nice.

I'm not giving 10 because I think it could benefit some QoL improvement like a mini map, in order to navigate without opening the map every 10 secondes to know where I am going.

Don't ever hesitate to play it if you have the chance.",Dalgach,2024-05-30,changing review got bug locked door wont open anymore crash game rich diverse really innovative mechanic gameplay really smooth nice im giving think could benefit col improvement like mini map order navigate without opening map every seconds know going dont ever hesitate play chance,positivo
8,8,"Metacritic doesnt seem to let you delete reviews if you've given them to a game on the wrong platform so here's a free '6' PS5 version, you're welcome!",Avenrise,2024-01-28,metacritic doesnt seem let delete review youve given game wrong platform here free p version youre welcome,positivo
9,9,"This game is really fun, but it's been a long time since I played a game this difficult. The reason I can't give it 10 points is simply because the game is too difficult. I honestly wonder if people will be able to play this game on normal difficulty. I've died countless times and played on easy mode, but it's still difficult. Some puzzles require very difficult manipulations to even reach the location and do not allow for even a single mistake. The map is unimaginably large and fun to explore, and the graphics are excellent. Although it was difficult, I had a lot of fun playing it.",Mean_KoreaNZ,2024-05-27,game really fun long time since played game difficult reason cant give point simply game difficult honestly wonder people able play game normal difficulty ive died countless time played easy mode still difficult puzzle require difficult manipulation even reach location allow even single mistake map unimaginably large fun explore graphic excellent although difficult lot fun playing,positivo
10,10,"This is my first Prince of Persia game. I never really showed any interest in this series until I decided to check out the demo for this reboot. As a huge metroidvania fan, I knew I had to have it. 20+ hours in, I'm in love. The Lost Crown has to be one of the greatest and most rewarding action platformers I've ever had the pleasure of experiencing. The level design and puzzles are nothing short of brilliant, the controls are incredibly tight and responsive, and innovative time abilities constantly do a good job of changing the dynamic of gameplay. A couple of things could've been better. The story could've been a bit more engaging, and the music is just forgettable. But while quite not enough to redeem Ubisoft's many years of recent screwups, this title is by far one of 2024's best games, and is possibly the best game they've produced in over a decade.",GamergodsFail,2024-05-26,first prince persian game never really showed interest series decided check demo reboot huge metroidvania fan knew hour im love lost crown one greatest rewarding action platformer ive ever pleasure experiencing level design puzzle nothing short brilliant control incredibly tight responsive innovative time ability constantly good job changing dynamic gameplay couple thing could better story could bit engaging music unforgettable quite enough redeem ubisofts many year recent screw title far one best game possibly best game theyre produced decade,positivo
11,11,"I'm giving this a 6 because it has really good production values and mechanics, but I personally hated it and will never play a game in this genre again, so I can't rate it any higher.

The exploration was amazingly tedious and frustrating, and so were the boss fights. Making progress was a chore, the whole game feels like a job, it's very rarely just fun, it's maybe something I would enjoy on my couch on a different platform, but I don't want tedious, annoying gameplay on my handheld.",LJP,2024-05-23,im giving really good production value mechanic personally hated never play game genre cant rate higher exploration amazingly tedious frustrating bos fight making progress core whole game feel like job rarely fun maybe something would enjoy couch different platform dont want tedious annoying gameplay handheld,positivo
12,12,"Overall the game was decent in quality. Throughly enjoyed the story even though it was fairly obvious what would transpire. Solid platformer with fluid combat.

Crashed a few times but didn’t run into the bugs reported in earlier patches. Would definitely give it a go if it’s in your potential game list.",Ewokian,2024-05-22,overall game decent quality thoroughly enjoyed story even though fairly obvious would transpired solid platformer fluid combat crashed time ’ run bug reported earlier patch would definitely give go ’ potential game list,positivo
13,13,"Prince of Persia: The Lost Crown is a great game. I really enjoyed the Trilogy, which I played on PC and I hoped for a Prince of Persia title for the modern PlayStation consoles. I was sceptical at first, when I found out it was a 2.5D game, but I still decided to buy it. In the end, it was much more fun than I had thought it would be. The combat system is great, even though it is in 2D and there are many hidden areas, which are fun to explore. There are also different areas, which are thematically different and they are all in an open world. The game was quite long (I needed around 50 hours to complete it the first time) and it didn't become boring. I would give it 10 points, but the story wasn't really well made, due to the game being non-linear. Overall, I think it's a great game.",Spurdaniel,2024-05-20,prince persian lost crown great game really enjoyed trilogy played pc hoped prince persian title modern playstation console sceptical first found game still decided buy end much fun thought would combat system great even though many hidden area fun explore also different area thematically different open world game quite long needed around hour complete first time didnt become boring would give point story wasnt really well made due game nonlinear overall think great game,positivo
14,14,Underrated great fun game.. easy to pick up any time.. no crazy commitment needed. very fun puzzles and challenges to solve.. wish the game would be longer. hope they release a DLC,ricjen,2024-05-10,underrated great fun game easy pick time crazy commitment needed fun puzzle challenge solve wish game would longer hope release dlc,positivo
15,15,"Simply one of the best metroidvania I ever played. Cool art style, kinda low-res but smooth 60 FPSon PS5. Great combat and platforming for like25 hours to platinum trophy.",Burzyk,2024-05-09,simply one best metroidvania ever played cool art style kinda lowers smooth son p great combat platforming like hour platinum trophy,positivo
16,16,"Realmente é um jogo muito bom. Não achei tão fascinante como hollow knight ou Ori mas é melhor que o Metroid dread e isso é muito relevante. As mecânicas para não deixar o jogador perdido, poder escolher sua dificuldade, uma história interessante, legendas em português, jogabilidade deliciosa, bom sistema de combate, ótimos desafios de plataforma. Esse jogo entrega uma experiência maravilhosa. Poderia ter chefes mais marcantes, locais que me fizessem sentir mais imerso. Não que os locais e gráfico sejam ruins, mas eu queria ter me sentido mais imerso naquele mundo como me sinto no hollow knight. Também queria ter mais poderes desbloqueados ao longo da aventura. Senti uma progressão um pouco estagnado em alguns momentos. Essas críticas e problemas não afetam tanto a experiência que foi maravilhosa. Valeu muito. É um dos melhores títulos do Switch. 
Indico muito o jogo. Jogo engaja.",Vinivitorioyo,2024-05-06,really good game didnt find fascinating hollow knight ori better metro dread relevantthe mechanic make player lost able choose difficulty interesting story portuguese subtitle delicious gameplay good combat system great platform challengesthis game delivers wonderful experience could striking chief place made feel immersednot place chart bad wanted felt immersed world feel hollow knight also wanted power unlocked throughout adventure felt slightly stagnant progression timesthese criticism problem affect experience wonderful worth limits one best switch title indicate game lotgame engages,positivo
17,17,"Ubi's best work since Rayman Legends from my point of view. An original metroidvania with clever mechanics and even more clever difficulty and exploration settings, allowing every player to experience it at its best. Graphics are sober but neat, framerate is solid. The fights are almost as thrilling as those of Hollow knight, demanding but fair, with an emphasis on the parry. From my point of view again, I recommend to begin in Hero difficulty, and even put it to max difficulty near the end since the accumulation of power ups and the player's assimilation of the skills can make you overpowered. 
A must play for metroidvania lovers.",tom,2024-05-06,bis best work since layman legend point view original metroidvania clever mechanic even clever difficulty exploration setting allowing every player experience best graphic sober neat framerate solid fight almost thrilling hollow knight demanding fair emphasis party point view recommend begin hero difficulty even put max difficulty near end since accumulation power ups player assimilation skill make overpowered must play metroidvania lover,positivo
18,18,"Сюжет 5/10Безликая история “на нас напали” с развитием в какие-то мистические древние места, в которых странности со временем, за 30 часов игры сюжет почти не развивается, много всяких старых историй в записках, но они банальные и бессмысленные
Саунд 3/10Музыка очень плоха – я ее вообще отключил ближе к 10 часам, звуки урона вызывают уныние, вообще большинство звуков кроме мувмента неуместные и унылые
Геймплей 8/10 Основной геймплей очень разнообразный, а драки часто вариативные, что здорово. Не здорово, что нужно бегать по карте в поисках проема, в который то можешь залезть с текущими способностями. Точка перемещения отркывается раз в 5 зачищенных помещений, а так как жанр препдполагает, что тебе надо постоянно возвращаться в предыдущие места, ты бегаешь по одним и тем же в первый раз с интересом пройденные, но в последующие разы осточертевшие от ловушек и врагов локации. Из-за этого играть и перестал. Боссы симпатичные, но каждый босс заключается в том, чтоб запомнить, куда от него надо прыгнуть во время атаки и ударить 3 раза в окно. Вариативности и места тактике нет.
Визуал 7/102д платформер-метроидвания. Наверное, от такой игры графона и не ждешь. Что есть – выглядит неплохо, но не то чтоб красиво и цепляюще.",kovalennkos,2024-05-03,plot story “ attacked u ” development mystical ancient place oddity time hour game plot almost developing many old story note canal meaningless sound mus bad generally turned ’ clock sound damage cause dependency general sound except movement inappropriate dull gameplay main gameplay diverse fight often variable great great need run map search opening climb current abilitiesthe movement point chopped every cleaned premise since genre prepared need constantly return previous place run first time interest passed next time stolen trap enemy locationbecause played stoppedthe boss pretty bos remember jump attack hit time windowthere variability place tactic visual platformermetrolevelingprobably game expect graphonewhat look good beautiful catchy,negativo
19,19,"El mejor juego de Ubisoft que yo recuerde, es un metroidvania excelente en jugabilidad, historia, mapeado y graficos.",AlejandroSanz,2024-05-01,best ubisoft game remember excellent metroidvania playability history mapping graphic,positivo
