,Comentario
0,"10ShipwreckTTVJul 1, 2024End credits are rolling as I write this. After hitting a wall with the difficulty of the combat in the first hour, I eventually got into the flow of this game and it became more and more rewarding the further I progressed. This is one of my favorite genres and Prince of Persia the Lost Crown is among the best Metroidvania games I've played. It is absolutely huge! The map is utterly filled with traps and environmental hazards and call back to the very first Prince of Persia side scrolling game. Every enemy could be a game over situation if you're not careful and these are some of the most spectacular boss fights I've ever encountered. The visuals are gorgeous, from the over-the-top cast of characters to the richly detailed landscape. I can tell so much care and attention went into this game from start to finish.Read More"
1,"9aeternumlkJun 27, 2024Great game, one of the best game 2024. Many are not happy that this is not the same Prince of Persia, but they forget that initially the Prince of Persia was exactly like that. I hope there will be a continuation, it will be interesting to know the story further."
2,"10danathaydeJun 15, 2024What an amazing game! After playing Hollow Knight, I wasn`t sure I would be satisfied playing any other metroidvania out there, but I was wrong. This game reaches the same heights. Amazing platform and level design, deep and varied combat and an interesting story that is easy to follow. Better than Most Blockbusters AAA games out thereRead More"
3,"9RetroRubenJun 12, 2024Awesome metroidvania with a nice little story and awesome moves. 9/10 without comparing it to the masterpieces of the genre."
4,"10JAPRASJun 4, 2024Buenísimo el juego, me ha gustado mucho más que metroid dread. una joya total!"
5,"10EdugreenJun 2, 2024I can say this is my favorite metroidvania since Hollow Knight. Great story, responsive controls, good characters. The Switch version didn't let me down. 10 out of 10."
6,"10PJMZdanowskiMay 20, 2024Amazing mix of Metroid Dread, Mario, Rayman and Dark Souls. As strange as it sound the effect is a superb, addicting, responsive and challenging game with amazing mood."
7,"1DalgachMay 30, 2024Changing my review to 1

I got bug locked because a door won't open anymore after a crash.

The game is rich, diverse, and really innovative on some mechanics. The gameplay is really smooth and nice.

I'm not giving 10 because I think it could benefit some QoL improvement like a mini map, in order to navigate without opening the map every 10 secondes to know where I am going.

Don't ever hesitate to play it if you have the chance.Read More"
8,"6AvenriseJan 28, 2024Metacritic doesnt seem to let you delete reviews if you've given them to a game on the wrong platform so here's a free '6' PS5 version, you're welcome!"
9,"9Mean_KoreaNZMay 27, 2024This game is really fun, but it's been a long time since I played a game this difficult. The reason I can't give it 10 points is simply because the game is too difficult. I honestly wonder if people will be able to play this game on normal difficulty. I've died countless times and played on easy mode, but it's still difficult. Some puzzles require very difficult manipulations to even reach the location and do not allow for even a single mistake. The map is unimaginably large and fun to explore, and the graphics are excellent. Although it was difficult, I had a lot of fun playing it.Read More"
