,Unnamed: 0,Comentario,Nome,Data,Comentario_Limpo,Sentimento
0,0,Felt like I wasted a few hrs of my life playing this. Hope this isn’t the direction this franchise is going.,izzy,2024-06-22,felt like wasted hr life playing hope ’ direction franchise going,positivo
1,1,"As boring as i can imagine. It is not Silent Hill, this is a modern-Twitter game about a girl.",SamaelsBook,2024-02-08,boring imagine silent hill moderntwitter game girl,negativo
2,2,It has nothing to do with the town or the franchise. There is no message here.,chupumcu,2024-02-02,nothing town franchise message,neutro
3,3,"short message from Silent Hill is definitely a good way for the franchise to return BUT, definitely a game with chase without combat like **** Memories is going to be a failure, I hope Konami doesn't go down that path again, I also noticed that the atmosphere is good but there is still room for more darkness and gloom like in the classics, the strong points of this demo are its soundtrack, ambience at certain moments, and an interesting enemy called cherry blossom, its only flaw is that it is an HK stalker and it is frustrating just to escape the all the time. Overall a good demo and a test game to see if the public would be excited about the franchise expanding and the answer is definitely yes as long as it is better worked.",TastyMilk,2024-05-28,short message silent hill definitely good way franchise return definitely game chase without combat like memory going failure hope kami doesnt go path also noticed atmosphere good still room darkness gloom like classic strong point demo soundtrack audience certain moment interesting enemy called cherry blossom flaw hk stalker frustrating escape time overall good demo test game see public would excited franchise expanding answer definitely yes long better worked,positivo
4,4,"I think it was a good game but as a silent hill game some part of it doesn't feel as silent hill, But ı really liked this game, gameplay, musics and atmospher is actually pretty good.",Omnipotens,2024-04-26,think good game silent hill game part doesnt feel silent hill ı really liked game gameplay music atmosphere actually pretty good,positivo
5,5,"(MY SCORE : 6 /10) Survival-Horror game from the Silent Hill Series which is the shortest series of the entire series. In this game we become Anita, a teenage girl who receives a text message from her friend, Maya (who has actually died by suicide). Anita must look for clues in an abandoned apartment complex in Kettenstadt, Germany. Occasionally he also received text messages from Amelie, which finally made him realize that Maya had died. While walking through the apartment, Anita also has to avoid the Sakura-Headed Monster that chases her at certain times, which cannot be attacked and can kill her!",ArdhazzGamer,2024-03-24,score survivalhorror game silent hill series shortest series entire series game become anita teenage girl receives text message friend maya actually died suicide anita must look clue abandoned apartment complex kettenstadt germany occasionally also received text message ample finally made realize maya died walking apartment anita also avoid sakuraheaded monster chase certain time attacked kill,negativo
6,6,Well that’s two hours of my life I won’t get back. Where was my shotgun? I want to blow creatures up or smack them in the head with a baseball bat - not wander around as a whiny teenager.,nickjkirby,2024-03-20,well ’ two hour life ’ get back shotgun want blow creature smack head baseball bat wander around shiny teenager,positivo
7,7,"O shadow drop do State of Play e o meu primeiro jogo da franquia Silent Hill, superou as minhas expetativas.
+Historia incrível (terror psicológico pesado)
+Atmosfera aterrorizante
-Queda de FPS
-Poucas opções de acessibilidade",bfsm,2024-03-19,state play shadow drop first silent hill franchise game exceeded expectation incredible history heavy psychological terror terrifying atmosphere fps accessibility option,negativo
8,8,"Overall a decent game with a decent story about social media amd how it can negatively impact peoples self worth, a topic thats very valid in todays day and age. It plays like PT but with a purpose, something PT lacked. The bad reviews come from bandwagon hoppers and fake dans that havent actually played a Silent Hill game. This one, while its not the greatest title in the series, it definitely is enjoyable and fun and has an engaging story. It fills the gap at the very least until Silent Hill 2 Remake is finished.",MechanixX,2024-03-18,overall decent game decent story social medium amd negatively impact people self worth topic thats valid today day age play like pt purpose something pt lacked bad review come bandwagon hopper fake dans havent actually played silent hill game one greatest title series definitely enjoyable fun engaging story fill gap least silent hill remake finished,positivo
9,9,"Absolute disgraceful addition to the Silent Hill franchise. If I could score this game any lower, I would do so in a heartbeat.",Bladerunner_NZ,2024-03-05,absolute disgraceful addition silent hill franchise could score game lower would heartbeat,negativo
10,10,This is literally the worst game I have ever played. I actually laughed out loud over how garbage this is many times. I couldn’t be paid enough money to play this again.,Romaoplays,2024-03-03,literally worst game ever played actually laughed loud garbage many time ’ paid enough money play,positivo
11,11,"An abysmal experience that won't take your money, but will indeed waste your time. Some how makes you turn on your own character and make you hate the decisions she has made. They try to make it, ""Oops, teenager stuff"", but its really off putting. And I get adding a warning at beginning of games like this, but this game has 5 total suicide/ self harm disclaimers from beginning to end, it just takes you out of whatever immersion you might have.

The actual gameplay/action mechanic is not good or scary as its meant to be. Any sense of dread you have is quickly erased by a dumb looking enemy and frustrating chase scenes. The ending chase is where the game goes from boring and uninteresting to just plain frustrating. The poorly made maze of darkness and similar corridors feels bad any make you want to quit out even though you know the end is near.",TrueOptimist,2024-03-01,absmag experience wont take money indeed waste time make turn character make hate decision made try make oops teenager stuff really putting get adding warning beginning game like game total suicide self harm disclaimer beginning end take whatever immersion might actual gameplayaction mechanic good scary meant sense dread quickly erased dumb looking enemy frustrating chase scene ending chase game go boring uninteresting plain frustrating poorly made maze darkness similar corridor feel bad make want quit even though know end near,negativo
