,Comentario
0,"3izzy215Jun 22, 2024Felt like I wasted a few hrs of my life playing this. Hope this isn’t the direction this franchise is going."
1,"1SamaelsBookFeb 8, 2024As boring as i can imagine. It is not Silent Hill, this is a modern-Twitter game about a girl."
2,"3chupumcuFeb 2, 2024It has nothing to do with the town or the franchise. There is no message here."
3,"9TastyMilk4RealMay 28, 2024short message from Silent Hill is definitely a good way for the franchise to return BUT, definitely a game with chase without combat like **** Memories is going to be a failure, I hope Konami doesn't go down that path again, I also noticed that the atmosphere is good but there is still room for more darkness and gloom like in the classics, the strong points of this demo are its soundtrack, ambience at certain moments, and an interesting enemy called cherry blossom, its only flaw is that it is an HK stalker and it is frustrating just to escape the all the time. Overall a good demo and a test game to see if the public would be excited about the franchise expanding and the answer is definitely yes as long as it is better worked.Read More"
4,"9OmnipotensApr 26, 2024I think it was a good game but as a silent hill game some part of it doesn't feel as silent hill, But ı really liked this game, gameplay, musics and atmospher is actually pretty good."
5,"6ArdhazzGamerMar 24, 2024(MY SCORE : 6 /10) Survival-Horror game from the Silent Hill Series which is the shortest series of the entire series. In this game we become Anita, a teenage girl who receives a text message from her friend, Maya (who has actually died by suicide). Anita must look for clues in an abandoned apartment complex in Kettenstadt, Germany. Occasionally he also received text messages from Amelie, which finally made him realize that Maya had died. While walking through the apartment, Anita also has to avoid the Sakura-Headed Monster that chases her at certain times, which cannot be attacked and can kill her!Read More"
6,"0nickjkirbyMar 20, 2024Well that’s two hours of my life I won’t get back. Where was my shotgun? I want to blow creatures up or smack them in the head with a baseball bat - not wander around as a whiny teenager."
7,"7bfsm99Mar 19, 2024O shadow drop do State of Play e o meu primeiro jogo da franquia Silent Hill, superou as minhas expetativas.
+Historia incrível (terror psicológico pesado)
+Atmosfera aterrorizante
-Queda de FPS
-Poucas opções de acessibilidade"
8,"8MechanixXMar 18, 2024Overall a decent game with a decent story about social media amd how it can negatively impact peoples self worth, a topic thats very valid in todays day and age. It plays like PT but with a purpose, something PT lacked. The bad reviews come from bandwagon hoppers and fake dans that havent actually played a Silent Hill game. This one, while its not the greatest title in the series, it definitely is enjoyable and fun and has an engaging story. It fills the gap at the very least until Silent Hill 2 Remake is finished.Read More"
9,"0Bladerunner_NZMar 5, 2024Absolute disgraceful addition to the Silent Hill franchise. If I could score this game any lower, I would do so in a heartbeat."
10,"0RomaoplaysMar 3, 2024This is literally the worst game I have ever played. I actually laughed out loud over how garbage this is many times. I couldn’t be paid enough money to play this again."
11,"3TrueOptimistMar 1, 2024An abysmal experience that won't take your money, but will indeed waste your time. Some how makes you turn on your own character and make you hate the decisions she has made. They try to make it, ""Oops, teenager stuff"", but its really off putting. And I get adding a warning at beginning of games like this, but this game has 5 total suicide/ self harm disclaimers from beginning to end, it just takes you out of whatever immersion you might have.

The actual gameplay/action mechanic is not good or scary as its meant to be. Any sense of dread you have is quickly erased by a dumb looking enemy and frustrating chase scenes. The ending chase is where the game goes from boring and uninteresting to just plain frustrating. The poorly made maze of darkness and similar corridors feels bad any make you want to quit out even though you know the end is near.Read More"
12,"4BlimpyPebblesMar 1, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
13,"6RedDragon1240Feb 29, 2024Nice freebie by Konami. The story is interesting about suicide, depression and anxiety. Graphics are terrible tbh but for a 2 hour game it's ok."
14,"8TheCarelessGameFeb 29, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
15,"3Lorenzoo1Feb 26, 2024Beside having a great atmosphere, and being free the game is absolutely unbearable at times. The feelings that the gameplay gives you are slowness and frustration that gets only worse the more time you actually play and want to understand something of the storyline. The story, in the other hand, is full of cliches and appears not to be authentic. The problematic of suicide is treated with a scary superficiality and is rapresented in a non believable way. It seems like the game have been written by an elderly person who can’t really understand the specific type of struggle they wanted to talk about, thinking maybe to get the attention of the younger gamer base. If that’s what the industry wants to feed us, we shouldn’t be so happy about it.Read More"
16,"4DarkwingSchmuckFeb 24, 2024Silent Hill: The Short Message is no where near the insult to the Silent Hill brand that other recent entries from Konami have been, but unfortunately there isn't much to it either.  This is a brief, forgettable experience that's only worth playing for the simple fact that it's free.  The Short Message's story and themes are about as subtle as a jackhammer, and its gameplay is non-existent and boring, making this an easy skip.Read More"
17,"9ibzzi123Feb 21, 2024Beautifully directed game with a powerful message. A bit too on the nose with the dialogue and themes, however, it still made for an engaging and immersive play. The horror aspect was present from the very start, and not too reliant on jumpscares. The story, revealed through notes, messages, and flashbacks, was the conduit for the horror. 

Overall, an enjoyable experience which left a mark on me.Read More"
18,"1GamergodsFailFeb 18, 2024Silent Hill: The **** Message is a strong contender for the worst game I've ever played. It lacks any subtlety in its message about suicide, guilt and mental illness whatsoever that used to express these issues symbolically in the older games, and the characters can't be any less likeable. But the gameplay is on a whole other level of horrid. From one minute you are simply walking around whining, to the next trying to find the right freaking book in a library. But where I stopped and uninstalled is near the end where it forces you to try and outrun some insta-death marionette mommy while you desperately run around a maze that's impossible to remember looking for pictures to unchain a door (like that makes any sense) in a trial and error exercise that I did not care to finish. It's one of, if not the WORST, encapsulation of poor level design I've ever had the displeasure to witness, let alone experience. It's not fun. It's not scary after the first chase. Even for free it's not worth it. They didn't even bother adding trophy support. I wouldn't make my arch enemy play something so contrived, convoluted and frustrating. We've waited almost 12 years for a new Silent Hill and this is the first thing we get? What a joke.Read More"
19,"10EquineDaddyFeb 18, 2024If you go into this as if it'll be like silent Hill you won't like it. It is not about jump scares it's more about the story. That is where the true horror lies. Read all the notes and listen. You'll see it's very good acting and very well written."
20,"4IshotrubberduckFeb 16, 2024With little scares and not much that made me think “this is silent hill”, The Short Message started putting me to sleep as it dragged on for the hour an a half I played it to completion."
21,"4Ldt1Feb 16, 2024Has quite a good atmosphere in some places, completely wrecked by the dumb maze chases, very heavy subject for the story, visually impressive in parts, but overall very disappointing, frustrating maybe even boring to play, few scary moments, chase maze scenes are terrible, Silent Hill name getting dragged through the mud again, people will compare this to p.t and it’s very poor in comparison. Very generous 4/10… :(Read More"
22,"7SarmythFeb 15, 2024I lost interest in chapter 3, but after reading a review here, realized it was the final chase.
The biggest saving grace for this game is that it was free, and this led me to think it was a demo. The psychological horror is definitely there, and they do talk about the fog. The issue is the game play is so vastly different from previous iterations. It is more alike to Outlast than Silent Hill. Yes, Pyramid head was an unkillable threat (and it's competitor Resident Evil has Mr. X and Nemesis for 2 and 3 respectively), but mazes and walking around finding clues is not all these games are. It is almost humorous that the game keeps going. The first chapter has an end that appears conclusive, and you see the suicide prevention message. I thought, ""what a great demo"". Then the game continues. I then think, ""wow they really are trying to impress you to buy this game"". The game drags on, and you see the suicide prevention message again. I found myself thinking how I wished the game would end. It reminds me of how I felt for Hellblade: Senua's sacrifice. Cool concept, but it just kept going. I would say Hellblade at least mixed up the flow with combat and puzzles. This game consists of walking through hallways finding the plot, or running through hallways from a monster. These chases, while tense, were hard to navigate making it unpleasant. The story is interesting, but Silent Hill: The Short Message did not feel short, despite being beatable in an afternoon.Read More"
23,"10jcymerFeb 14, 2024Caballeros el Team qué hizo Silent hill no volverá suelten el pasado, es un excelente juego con muy buena historia."
24,"9Mulder46Feb 13, 2024Muy buena historia, en los momentos que tienes que **** llega a ser desesperante, pero por otro lado.... genera esa ansiedad y frustración que produce el bullyng"
