,Unnamed: 0,Comentario,Nome,Data,Comentario_Limpo,Sentimento
0,0,I really like the direction this new chapter is heading in. It has enough legs to stand on its own and it didn’t feel forced. I appreciate the emphasis on bringing up Caesar and the few lines in the script paying homage to the last chapter but ultimately staying on task to develop a new storyline and cast. Rebooting a franchise after a big gap is hard but I think they did a really good job and I feel like there are some plot twists coming. Looking forward to the next installment.,B,2024-07-03,really like direction new chapter heading enough leg stand ’ feel forced appreciate emphasis bringing cesar line script paying homage last chapter ultimately staying task develop new storyline cast reporting franchise big gap hard think really good job feel like plot twist coming looking forward next installment,positivo
1,1,I liked the eagles.   I had problems with the plot  - it didnt really hang together,alexander p,2024-07-03,liked eagle problem plot didnt really hang together,neutro
2,2,weak plot and characters,609,2024-07-02,weak plot character,negativo
3,3,"The movie was average. I thought that the plot did not entirely hold together. A ""human"" actress was introduced but her role was limited, and her plot diversions were interesting but did not make complete sense when compared to the ape plot line. Overall, I was a bit disappointed.",P-Lawrence,2024-07-02,movie average thought plot entirely hold together human actress introduced role limited plot diversion interesting make complete sense compared ape plot line overall bit disappointed,negativo
4,4,The story base was very good very different from previous one.  The beginning scene were a little too dark hard to see what was going on.,Joan,2024-07-02,story base good different previous one beginning scene little dark hard see going,positivo
5,5,Great story going back to the original movie storyline,Todd,2024-07-02,great story going back original movie storyline,positivo
6,6,Ive always loved watching planet of the apes so I bought my granddaughters to today to watch it and they really enjoyed watching it,Judith,2024-07-01,ive always loved watching planet ape bought granddaughter today watch really enjoyed watching,positivo
7,7,Good movie but not enough action,,2024-07-01,good movie enough action,positivo
8,8,"The is film is probably one of the strongest in the series, but there are some major plot holes that really can't be explained, that contribute to the twist ending that really makes the film.  The performances were top notch and overall the script held up. But, this film seemed like a typical POTHA film until the very end. There should have been a bit more information during the plot line of the film so the ending is a bit more believable. Otherwise it is a very entertaining film, and now sends the Ape saga into a different direction.",Harry S,2024-07-01,film probably one strongest series major plot hole really cant explained contribute twist ending really make film performance top notch overall script held film seemed like typical gotha film end bit information plot line film ending bit believable otherwise entertaining film sends ape saga different direction,positivo
9,9,Really enjoyed. These are always good in my book. I miss Caesar.,Dyan L,2024-07-01,really enjoyed always good book miss cesar,positivo
10,10,Very good. Best of the franchise.,Tom C,2024-07-01,good best franchise,positivo
11,11,It was good.  Just way too long.,Susan  D,2024-06-30,good way long,positivo
12,12,Amazing! Definitely worth watching,Coralis M,2024-06-30,amazing definitely worth watching,positivo
13,13,Not as good as The Adventures Of Sonic The Hedgehog,Meme D,2024-06-30,good adventure sonic hedgehog,positivo
14,14,"To be honest i dont understand why this is getting the amount of hate it’s getting. It might be because all the characters are brand new, and well everyone’s upset that ceaser is gone but we should appreciate this movie way more. The time it took for this movie and the amount of effort put into it should be accounted for. You also have to remember that this is a whole NEW trilogy. You have to give it a chance since this is only really the beginning of a new plot and characters, whom throughout the next movies you should see more development through.  And the characters aren't Noah even bad! Same with the plot! May has her own interesting story. This whole time she was really only trying to save her kind and by doing so she was semi villan and semi hero since she did help Noa sometimes, but then at the end she almost killed his clan and had lied to him multiple times. Shes a good neutral character and a great actor! We definitely should be seeing more of her in the next movie. Noa is a good character too. Hes almost like ceaser but his, personality and looks are different. But they both had the same goal. To protect their family/pack. In this movie Noa worked on saving his pack and learning more about ecos (humans) and realizing the whole backstory to them. (Thanks to the orangutan whom i have forgotten his name..) Noa became a leader at the end like Ceaser had at the end of Rise of Plant of The Apes. We can already see his character forming quite well. And at the end of the movie, we almost get a conflict for the next movie. May ended up helping humans connect together all around the world.  This will obviously cause chaos between apes and humans and will have to put Noa up to the test for being a leader. So yeah, even though movie might’ve dragged a little, it was still good and I see great potential for the next movie. So like i said, give this movie a chance and understand that this movie isn't suppose to satisfy you yet since its only the introduction.",Manny R,2024-06-30,honest dont understand getting amount hate ’ getting might character brand new well everyone ’ upset ceased gone appreciate movie way time took movie amount effort put accounted also remember whole new trilogy give chance since really beginning new plot character throughout next movie see development character arent noah even bad plot may interesting story whole time really trying save kind semi villain semi hero since help noa sometimes end almost killed clan lied multiple time shes good neutral character great actor definitely seeing next movie noa good character he almost like ceased personality look different goal protect familypack movie noa worked saving pack learning cos human realizing whole backstory thanks orangutan forgotten name noa became leader end like ceased end rise plant ape already see character forming quite well end movie almost get conflict next movie may ended helping human connect together around world obviously cause chaos ape human put noa test leader yeah even though movie might ’ dragged little still good see great potential next movie like said give movie chance understand movie isnt suppose satisfy yet since introduction,positivo
15,15,"Expected more suspense, more action and better story line. Still good movie to watch.",Jo,2024-06-30,expected suspense action better story line still good movie watch,positivo
16,16,"Shallow characters, glacial pace, dramatic pauses for... what? Nothingburgers. The CGI was pretty good.",Ariel,2024-06-30,shallow character glacial pace dramatic pause nothingburgers cgi pretty good,positivo
17,17,"I love how they incorporate similar scenes from the original movies from the 70s. It was not what my wife and I were expecting, but that was a great thing!",Braska W,2024-06-29,love incorporate similar scene original movie wife expecting great thing,positivo
18,18,It was just good the story line was ok and the ending was confusing to me.,Farah,2024-06-29,good story line ok ending confusing,positivo
19,19,Great story and message. Captivating and evocative.,dennis  d,2024-06-29,great story message captivating evocative,positivo
40,40,Interesting movie with excellent visual effects.,Goxy,2024-06-29,interesting movie excellent visual effect,positivo
41,41,"This movie was bad, so boring. I feel like I wasted money seeing this. I don’t know what they thought they were doing with this movie.",Hannah R,2024-06-29,movie bad boring feel like wasted money seeing ’ know thought movie,negativo
42,42,Keep you guessing up till the end! Very exciting  movie,Sylvia R,2024-06-29,keep guessing till end exciting movie,positivo
43,43,It was overall boring and didn’t really make sense when you put it together,,2024-06-29,overall boring ’ really make sense put together,negativo
44,44,"very enjoyable, maybe a set up for human strike back for one last time in next movie",Anhao W,2024-06-28,enjoyable maybe set human strike back one last time next movie,positivo
45,45,Very entertaining.  Graphics are really good.  Left you wanting more.,Paul M,2024-06-28,entertaining graphic really good left wanting,positivo
46,46,"It's a rather tiring film, I watched all the Planet of the Apes films, up until 1968, I liked the references to the first one, but the film is a bit boring, I almost fell asleep in the cinema, but it's actually good, it's very respectful so it's good.",Arthur F,2024-06-28,rather tiring film watched planet ape film liked reference first one film bit boring almost fell asleep cinema actually good respectful good,positivo
47,47,I liked the entire film. Product was amazing. The apes looked so real with there human expressions and movement. I found it interesting to only see 2 human characters. Love the subtle references to the old films.,Dennis,2024-06-27,liked entire film product amazing ape looked real human expression movement found interesting see human character love subtle reference old film,positivo
48,48,Waste of my money the movie had nothing to do with previous movies it made no sense,Edye,2024-06-27,waste money movie nothing previous movie made sense,negativo
49,49,"Kingdom was least an hour too long and a pretty dumb movie. Nowhere near as good as the original 1968 film or the four other films and TV series from the 1970s. No subtext, no ideas, what you saw was what you got. The violence was more than the Caaesar trilogy. The music score was nondescript and the composer needn’t have bothered, as it was mostly drowned out by the sound effects. The only memorable bits were the occasional nods to Jerry Goldsmith’s material from Apes 68. The same could be said of Rise, Dawn and War, each dumber than the last. Rise was fairly intelligent though.

Like other wags have said, the film's story with Proximus Caesar is basically the lyrics of The Jungle Book's song 'I Wanna Be Like You'.",Dirk W,2024-06-27,kingdom least hour long pretty dumb movie nowhere near good original film four film tv series subject idea saw got violence cesar trilogy music score nondescript composer ’ bothered mostly drowned sound effect memorable bit occasional nod jerry goldsmith ’ material ape could said rise dawn war number last rise fairly intelligent though like wag said film story proxies cesar basically lyric jungle book song wan na like,negativo
50,50,"I usually stay away from movies that heavily rely on CGI. ""Kingdom..."" was ASTOUNDING! 

The graphics only enhanced the characters and made the world feel plausible.  Great story, great characters! A creative exploration of the random and weird experience of being alive and sentient.

They should tap Wes Ball to direct for the Star Wars franchise.  He might even be able to save it!",Ted M,2024-06-26,usually stay away movie heavily rely cgi kingdom astounding graphic enhanced character made world feel plausible great story great character creative exploration random weird experience alive sentient tap wes ball direct star war franchise might even able save,positivo
51,51,"I love the Planet of the Apes franchise - this one ruined the whole thing for me. Unrelated storyline, boring plot, and did some damage to Caesar’s legacy. 
If I wasn’t with friends I would’ve left 20 minutes in. Save your time and money.",yomna a,2024-06-26,love planet ape franchise one ruined whole thing unrelated storyline boring plot damage cesar ’ legacy ’ friend would ’ left minute save time money,positivo
52,52,"This movie was surprisingly good! I definitely enjoyed it, and I think this is a very promising start to a new planet of the apes trilogy. Not as good as war for the planet of the apes but still very good.",Brayden B,2024-06-26,movie surprisingly good definitely enjoyed think promising start new planet ape trilogy good war planet ape still good,positivo
53,53,Not as engaging story as the previous one.,Diana,2024-06-26,engaging story previous one,positivo
54,54,Action packed.  I really enjoyed the movie.,Clarence,2024-06-26,action packed really enjoyed movie,positivo
55,55,This movie is an absolute masterpiece. It represents my ape like friend group so much it just makes me happy we get represantation in 21th century.,,2024-06-26,movie absolute masterpiece represents ape like friend group much make happy get representation th century,positivo
56,56,"Solid movie, but it gets really slow sometimes, and Proximus Ceaser wasn't that good of a villain. I was so disappointed at the ending, but all in all, it is a good star up for a trilogy with this new cast of characters.",Kid K,2024-06-26,solid movie get really slow sometimes proxies ceased wasnt good villain disappointed ending good star trilogy new cast character,positivo
57,57,It was okay. Didn’t really like the ending,.,2024-06-26,okay ’ really like ending,positivo
